,source,targets,Score
36,My name is Mehdi Mohseni and I was born in 1979 in Qom.,و به نوعی شاید بنوان گفت روزنامه نگار مستقل.,0.0
37,I published my first blog in 2002.,ابتدا در پرشین بلاگ و پس از آن در بلاگفا و هم اکنون با دومین اورگ و آی ار در محیط موبل تایپ.,0.0
38,Q:You are based in South-West Iran.,شاید یکی از دلایل رشد سریع وبلاگ نویسی هم همین مزیت باشد.,0.0
39,Q: What is the main problem of Iranian bloggers besides filtering?,به عنوان مثلا در دو سال اخیر موج گسترده فیلتر نمودن وبلاگ نویسهای زن آغاز شده است.,0.0
40,"Bloggers, like others, faces several difficulties in Iran.",و بیشترین خبرها در مورد هک شدن وب سایتهای نهادها و سازمانهای دولتی بوده است.,0.0
41,Especially many blogs by women were filtered.,وبلاگ توانسته وسیلهی خوبی باشد.,0.0
42,Political sites and blogs written by reformists and nationalist-religious people are targeted too.,البه این برداشتهای من به عنوان یک وبلاگ نویس در حوزهی سیاست و اجتماع است.,0.0
43,Hacking has not really been a problem for bloggers.,آیا فرق زیادی بین موضوعات بلاگهای ایرانی داخل کشور و خارج وجود دارد؟,0.0
44,This may be the reason so many women and girls are blogging.,گرچه ممکن است زاویه دید وبلاگ نویسها بسیار متفاوت باش,0.0
45,"The website, Monaco Politic Circus, which was meant to imitate the famous French satirical political weekly newspaper Charlie Hebdo, has been suspended.",وی در سایت موناکو پالیتیک سیرکس یا سایت سیرک سیاسی موناکو رهبر این کشور را به تمسخر گرفته است,0.0
46,Of course it is a blog and a photoblog at the same time.,و البته شباهت عکاسی با شکار و تیراندازی!,0.0
47,What is the added value of a weblog for journalists?,برای یک روزنامه نگار مثل شما وبلاگ چه ارزش اضافی دارد؟,4.0
48,It will be great if the world listens to the voice of bloggers.,واقعیت این است که خوب است که دنیا صدای وبلاگها را بشوند!,2.0
49,Joshua Kucera was one of 500 journalists who covered the SCO summit in Kyrgyzstan's capital Bishkek.,جاشوا کوسرا یکی از پانصد خبرنگاری است که اخیرا اجلاس شانگهای در قرقیزستان را گزارش کرده است.,4.0
50,Is that merely satirical? Sanjar thinks there's a lot of truth in the allegations.,شش نظامی ایتالیایی قرار است در ایتالیا به همین دلیل محاکمه شوند,0.0
51,"Lebanese pop star Nancy Ajram was 'terrorised' by an Israeli journalist in Jordan, notes Naseem Tarawnah.",نانسی اجرم خواننده معروف لبنانی در یک کنفرانس مطبوعاتی در اردن از حضور یک خبرنگار اسرائیلی شوکه شد.,2.0
52,"The Committee to Protect Bloggers (CPB) “the first organization devoted to the free speech and personal liberty of bloggers worldwide, has come back after a 1+ year hiatus, with a tighter focus.",کمیته دفاع از بلاگرها پس از یک سال دوباره فعالیت خود را از سر گرفته است.,1.0
53,"It is rather obviously the tactic of increase in interest rate is not working, as Youguc notices that people are more concerned with the increase of pork price (zh).",افزایش بهره برای آهسته کردن سیر صعودی بازار بورس است ولی مردم بیشتر نگران افزایش قیمت گوشت خوک هستند,1.0
54,"Sean's Russia Blog is posting updates on Anna Politkovskaya's murder investigation - here, here, here (46 comments), and here.",بلاگ روسیه شون در مورد دستگیری تعدادی از ماموران امنیتی روس به اتهام نقش داشتن در ترور آنا پولیتکوسکایا گمانه زنی کرده است (انگلیسی).,1.0
55,Bahrainis marked the birth of the Shia Imam Al Mahdi with a lot of fanfare and blogger Mahmood Al Yousif was out with his new camera to record the celebrations.,بسیاری در بحرین میلاد امام دوازدهم را جشن گرفتند و محمو بلاگر بحرینی از این مراسم فیلم گرفته است,4.0
